Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$1.49,-0.04,-2.614%,46751611.00,China,,22904,Miscellaneous,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,$9.77,0.00,0.00%,202331815.00,United States,2021,70992,,
AACIW,Armada Acquisition Corp. I Warrant,$0.5172,-0.0005,-0.097%,0.00,United States,2021,100,,
AADI,Aadi Bioscience Inc. Common Stock,$21.615,0.535,2.538%,451624437.00,United States,,26083,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,$18.595,0.705,3.941%,12040532537.00,United States,,22756097,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,$3.75,0.00,0.00%,76419660.00,United States,,261,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,$5.96,0.28,4.93%,162693976.00,United States,2013,113870,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$82.32,1.16,1.429%,4315875430.00,United States,,74952,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,$174.14,2.96,1.729%,3019124387600.00,United States,1980,48198177,Technology,Computer Manufacturing
AATC,Autoscope Technologies Corporation Common Stock,$6.50,0.08,1.246%,34919417.00,United States,,2984,Capital Goods,Industrial Machinery/Components
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$87.29,-0.42,-0.479%,2533879521.00,United States,,103174,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,$49.60,0.12,0.243%,3453905474.00,United States,1994,40620,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,$15.2255,0.6755,4.643%,4287215703.00,Canada,2020,712847,,
ABCM,Abcam plc American Depositary Shares,$22.64,-0.21,-0.919%,5181279464.00,United Kingdom,2020,63235,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,$0.6432,0.009,1.419%,65553602.00,United States,,180379,Health Care,Biotechnology: Pharmaceutical Preparations
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$9.74,0.00,0.00%,188299037.00,United States,2021,22,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,$2.35,0.04,1.732%,33863836.00,United States,,68757,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,$323.53,2.75,0.857%,14719802940.00,United States,,71771,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$186.07,2.93,1.60%,110971963232.00,United States,2020,1897046,Capital Goods,Industrial Machinery/Components
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$7.62,0.08,1.061%,308383861.00,United States,2021,32184,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,$11.57,0.56,5.086%,1071283331.00,United States,2021,53863,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,$9.01,0.11,1.236%,448883345.00,Canada,2020,29362,,
ABTX,Allegiance Bancshares Inc. Common Stock,$40.71,0.15,0.37%,824274911.00,United States,2015,5424,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,$4.04,0.08,2.02%,551190318.00,Canada,,3027576,,
ABVC,ABVC BioPharma Inc. Common Stock,$3.20,0.04,1.266%,91550042.00,United States,,28038,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$21.63,0.31,1.454%,3477151653.00,United States,1985,278776,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$9.91,0.00,0.00%,427368750.00,United States,2021,114,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$10.21,0.03,0.295%,0.00,United States,2021,28128,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.99,0.01,1.02%,0.00,United States,2021,13076,,
ACB,Aurora Cannabis Inc. Common Shares,$6.685,0.305,4.781%,1325154360.00,Canada,,1549838,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.07,0.00,0.00%,60963780.00,Hong Kong,2021,5250,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,$0.45,-0.04,-8.163%,0.00,Hong Kong,2021,2900,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,$28.22,-0.02,-0.071%,572999255.00,United States,,34966,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,$26.68,0.15,0.565%,1778600482.00,United States,2020,217783,,
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.06,0.04,1.98%,29479103.00,United States,,8488,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,$14.1283,-0.3617,-2.496%,276770967.00,United States,2018,2473429,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$9.9483,0.0083,0.084%,286013625.00,United States,2020,4370,Technology,Semiconductors
